time,temperature
2025-08-14T00:00,23.4
2025-08-14T01:00,23.1
2025-08-14T02:00,22.6
2025-08-14T03:00,21.9
2025-08-14T04:00,21.5
2025-08-14T05:00,21.3
2025-08-14T06:00,21.5
2025-08-14T07:00,22.5
2025-08-14T08:00,23.6
2025-08-14T09:00,24.4
2025-08-14T10:00,25.9
2025-08-14T11:00,27.1
2025-08-14T12:00,28.8
2025-08-14T13:00,29.2
2025-08-14T14:00,30.2
2025-08-14T15:00,31.0
2025-08-14T16:00,31.7
2025-08-14T17:00,30.9
2025-08-14T18:00,30.1
2025-08-14T19:00,29.0
2025-08-14T20:00,25.6
2025-08-14T21:00,24.0
2025-08-14T22:00,22.8
2025-08-14T23:00,21.7
2025-08-15T00:00,20.8
2025-08-15T01:00,20.2
2025-08-15T02:00,19.8
2025-08-15T03:00,19.3
2025-08-15T04:00,18.9
2025-08-15T05:00,18.6
2025-08-15T06:00,18.8
2025-08-15T07:00,19.7
2025-08-15T08:00,21.5
2025-08-15T09:00,23.6
2025-08-15T10:00,25.9
2025-08-15T11:00,27.9
2025-08-15T12:00,29.6
2025-08-15T13:00,30.9
2025-08-15T14:00,31.7
2025-08-15T15:00,32.1
2025-08-15T16:00,32.0
2025-08-15T17:00,31.5
2025-08-15T18:00,30.5
2025-08-15T19:00,28.9
2025-08-15T20:00,27.6
2025-08-15T21:00,26.6
2025-08-15T22:00,24.5
2025-08-15T23:00,23.5
2025-08-16T00:00,22.5
2025-08-16T01:00,21.6
2025-08-16T02:00,20.7
2025-08-16T03:00,19.8
2025-08-16T04:00,19.0
2025-08-16T05:00,18.4
2025-08-16T06:00,18.7
2025-08-16T07:00,19.9
2025-08-16T08:00,21.3
2025-08-16T09:00,23.0
2025-08-16T10:00,24.9
2025-08-16T11:00,26.6
2025-08-16T12:00,27.7
2025-08-16T13:00,28.1
2025-08-16T14:00,28.6
2025-08-16T15:00,28.7
2025-08-16T16:00,28.3
2025-08-16T17:00,27.5
2025-08-16T18:00,26.2
2025-08-16T19:00,24.4
2025-08-16T20:00,22.7
2025-08-16T21:00,21.2
2025-08-16T22:00,19.6
2025-08-16T23:00,18.3
2025-08-17T00:00,17.1
2025-08-17T01:00,16.2
2025-08-17T02:00,15.5
2025-08-17T03:00,15.0
2025-08-17T04:00,14.6
2025-08-17T05:00,14.2
2025-08-17T06:00,14.6
2025-08-17T07:00,15.7
2025-08-17T08:00,17.5
2025-08-17T09:00,19.6
2025-08-17T10:00,21.3
2025-08-17T11:00,22.7
2025-08-17T12:00,23.9
2025-08-17T13:00,24.9
2025-08-17T14:00,25.7
2025-08-17T15:00,26.0
2025-08-17T16:00,25.8
2025-08-17T17:00,25.1
2025-08-17T18:00,24.2
2025-08-17T19:00,22.7
2025-08-17T20:00,21.0
2025-08-17T21:00,19.5
2025-08-17T22:00,18.4
2025-08-17T23:00,17.6
2025-08-18T00:00,16.9
2025-08-18T01:00,16.3
2025-08-18T02:00,15.8
2025-08-18T03:00,15.5
2025-08-18T04:00,15.2
2025-08-18T05:00,15.0
2025-08-18T06:00,15.5
2025-08-18T07:00,17.1
2025-08-18T08:00,19.4
2025-08-18T09:00,21.5
2025-08-18T10:00,23.1
2025-08-18T11:00,24.6
2025-08-18T12:00,25.7
2025-08-18T13:00,26.6
2025-08-18T14:00,27.1
2025-08-18T15:00,27.3
2025-08-18T16:00,27.1
2025-08-18T17:00,26.5
2025-08-18T18:00,25.7
2025-08-18T19:00,24.4
2025-08-18T20:00,22.8
2025-08-18T21:00,21.5
2025-08-18T22:00,20.5
2025-08-18T23:00,19.8
2025-08-19T00:00,19.1
2025-08-19T01:00,18.4
2025-08-19T02:00,17.8
2025-08-19T03:00,17.4
2025-08-19T04:00,17.1
2025-08-19T05:00,17.0
2025-08-19T06:00,16.9
2025-08-19T07:00,18.7
2025-08-19T08:00,21.0
2025-08-19T09:00,23.2
2025-08-19T10:00,25.1
2025-08-19T11:00,26.9
2025-08-19T12:00,28.3
2025-08-19T13:00,29.2
2025-08-19T14:00,29.7
2025-08-19T15:00,29.9
2025-08-19T16:00,29.5
2025-08-19T17:00,28.8
2025-08-19T18:00,27.8
2025-08-19T19:00,26.4
2025-08-19T20:00,24.8
2025-08-19T21:00,23.5
2025-08-19T22:00,22.7
2025-08-19T23:00,22.1
2025-08-20T00:00,21.6
2025-08-20T01:00,20.9
2025-08-20T02:00,20.3
2025-08-20T03:00,19.7
2025-08-20T04:00,19.2
2025-08-20T05:00,18.7
2025-08-20T06:00,18.6
2025-08-20T07:00,19.1
2025-08-20T08:00,19.9
2025-08-20T09:00,20.8
2025-08-20T10:00,21.7
2025-08-20T11:00,22.6
2025-08-20T12:00,23.4
2025-08-20T13:00,24.0
2025-08-20T14:00,24.5
2025-08-20T15:00,24.8
2025-08-20T16:00,25.0
2025-08-20T17:00,25.1
2025-08-20T18:00,24.8
2025-08-20T19:00,23.8
2025-08-20T20:00,22.5
2025-08-20T21:00,21.3
2025-08-20T22:00,20.2
2025-08-20T23:00,19.1
